,0
2000-01-01,100.0
2000-02-01,100.11923728511071
2000-03-01,100.23861674552303
2000-04-01,100.35813855076293
2000-05-01,100.47780287055852
2000-06-01,100.59760987484027
2000-07-01,100.71755973374131
2000-08-01,100.83765261759758
2000-09-01,100.95788869694819
2000-10-01,101.07826814253553
2000-11-01,101.19879112530563
2000-12-01,101.31945781640832
2001-01-01,101.4402683871975
2001-02-01,101.6064650890757
2001-03-01,101.77293408265967
2001-04-01,101.93967581406403
2001-05-01,102.10669073013426
2001-06-01,102.27397927844794
2001-07-01,102.44154190731597
2001-08-01,102.6093790657837
2001-09-01,102.77749120363225
2001-10-01,102.9458787713796
2001-11-01,103.11454222028185
2001-12-01,103.28348200233445
2002-01-01,103.45269857027336
2002-02-01,103.5743966136831
2002-03-01,103.69623781830542
2002-04-01,103.81822235255001
2002-05-01,103.94035038502469
2002-06-01,104.06262208453563
2002-07-01,104.1850376200876
2002-08-01,104.30759716088414
2002-09-01,104.43030087632786
2002-10-01,104.55314893602065
2002-11-01,104.6761415097639
2002-12-01,104.79927876755875
2003-01-01,104.92256087960632
2003-02-01,105.0125627469205
2003-03-01,105.10264181723134
2003-04-01,105.1927981567631
2003-05-01,105.28303183179678
2003-06-01,105.37334290867024
2003-07-01,105.46373145377827
2003-08-01,105.55419753357259
2003-09-01,105.64474121456196
2003-10-01,105.73536256331214
2003-11-01,105.826061646446
2003-12-01,105.91683853064362
2004-01-01,106.00769328264218
2004-02-01,106.15373243164592
2004-03-01,106.29997276824635
2004-04-01,106.4464145696051
2004-05-01,106.59305811326563
2004-06-01,106.73990367715375
2004-07-01,106.88695153957815
2004-08-01,107.03420197923091
2004-09-01,107.18165527518808
2004-10-01,107.32931170691013
2004-11-01,107.47717155424256
2004-12-01,107.62523509741638
2005-01-01,107.77350261704863
2005-02-01,107.91145725547317
2005-03-01,108.04958848166558
2005-04-01,108.18789652166566
2005-05-01,108.32638160180258
2005-06-01,108.46504394869518
2005-07-01,108.60388378925241
2005-08-01,108.74290135067363
2005-09-01,108.8820968604491
2005-10-01,109.0214705463602
2005-11-01,109.16102263647994
2005-12-01,109.30075335917324
2006-01-01,109.44066294309735
2006-02-01,109.58349536301486
2006-03-01,109.72651419536474
2006-04-01,109.86971968343626
2006-05-01,110.0131120708362
2006-06-01,110.1566916014893
2006-07-01,110.30045851963862
2006-08-01,110.44441306984601
2006-09-01,110.58855549699247
2006-10-01,110.73288604627862
2006-11-01,110.87740496322509
2006-12-01,111.02211249367294
2007-01-01,111.16700888378408
2007-02-01,111.37771508554788
2007-03-01,111.58882066032626
2007-04-01,111.80032636509178
2007-05-01,112.01223295825169
2007-06-01,112.22454119965079
2007-07-01,112.43725185057406
2007-08-01,112.65036567374942
2007-09-01,112.8638834333505
2007-10-01,113.07780589499929
2007-11-01,113.29213382576899
2007-12-01,113.50686799418669
2008-01-01,113.72200917023616
2008-02-01,113.9681451186057
2008-03-01,114.2148137950331
2008-04-01,114.46201635253635
2008-05-01,114.70975394662905
2008-06-01,114.9580277353257
2008-07-01,115.2068388791472
2008-08-01,115.45618854112624
2008-09-01,115.70607788681272
2008-10-01,115.95650808427924
2008-11-01,116.20748030412649
2008-12-01,116.45899571948883
2009-01-01,116.71105550603964
2009-02-01,116.741428743684
2009-03-01,116.77180988575148
2009-04-01,116.80219893429914
2009-05-01,116.8325958913846
2009-06-01,116.863000759066
2009-07-01,116.893413539402
2009-08-01,116.92383423445183
2009-09-01,116.95426284627523
2009-10-01,116.9846993769325
2009-11-01,117.01514382848444
2009-12-01,117.04559620299243
2010-01-01,117.07605650251834
2010-02-01,117.18320696058917
2010-03-01,117.2904554850026
2010-04-01,117.39780216551097
2010-05-01,117.5052470919488
2010-06-01,117.61279035423283
2010-07-01,117.72043204236208
2010-08-01,117.82817224641794
2010-09-01,117.93601105656424
2010-10-01,118.04394856304737
2010-11-01,118.15198485619625
2010-12-01,118.26012002642253
2011-01-01,118.36835416422056
2011-02-01,118.57112834998082
2011-03-01,118.77424990367318
2011-04-01,118.97771942036587
2011-05-01,119.18153749614656
2011-06-01,119.38570472812403
2011-07-01,119.59022171442997
2011-08-01,119.79508905422072
2011-09-01,120.00030734767901
2011-10-01,120.20587719601575
2011-11-01,120.41179920147174
2011-12-01,120.61807396731948
2012-01-01,120.82470209786493
2012-02-01,121.02509322817082
2012-03-01,121.22581671274207
2012-04-01,121.42687310279752
2012-05-01,121.62826295047013
2012-06-01,121.82998680880867
2012-07-01,122.03204523177911
2012-08-01,122.23443877426621
2012-09-01,122.437167992075
2012-10-01,122.64023344193235
2012-11-01,122.84363568148846
2012-12-01,123.04737526931844
2013-01-01,123.25145276492376
2013-02-01,123.40494647160426
2013-03-01,123.55863133479824
2013-04-01,123.71250759256633
2013-05-01,123.86657548326568
2013-06-01,124.02083524555026
2013-07-01,124.17528711837126
2013-08-01,124.32993134097744
2013-09-01,124.48476815291554
2013-10-01,124.63979779403059
2013-11-01,124.79502050446632
2013-12-01,124.95043652466556
2014-01-01,125.10604609537056
2014-02-01,125.20019328764111
2014-03-01,125.29441132935571
2014-04-01,125.38870027383133
2014-05-01,125.48306017442508
2014-06-01,125.5774910845342
