,0
2000-01-01,148.70714285714286
2000-02-01,148.32380952380953
2000-03-01,146.92478260869566
2000-04-01,146.11947368421053
2000-05-01,148.94136363636363
2000-06-01,151.965
2000-07-01,155.96904761904761
2000-08-01,158.48227272727274
2000-09-01,162.5427777777778
2000-10-01,162.2761904761905
2000-11-01,162.8652380952381
2000-12-01,163.27684210526314
2001-01-01,162.17772727272725
2001-02-01,159.5885
2001-03-01,167.01545454545456
2001-04-01,168.395
2001-05-01,168.00904761904764
2001-06-01,174.3625
2001-07-01,187.44333333333333
2001-08-01,192.93727272727273
2001-09-01,195.2435294117647
2001-10-01,204.54818181818183
2001-11-01,200.44095238095238
2001-12-01,194.83263157894737
2002-01-01,192.89363636363635
2002-02-01,195.255
2002-03-01,191.92149999999998
2002-04-01,189.30619047619047
2002-05-01,189.5805
2002-06-01,193.671
2002-07-01,197.18869565217392
2002-08-01,196.58142857142857
2002-09-01,200.91368421052633
2002-10-01,205.38304347826087
2002-11-01,197.8945
2002-12-01,199.796
2003-01-01,206.78272727272727
2003-02-01,213.911
2003-03-01,213.57714285714286
2003-04-01,207.31238095238092
2003-05-01,202.22750000000002
2003-06-01,203.842
2003-07-01,202.00956521739133
2003-08-01,202.26100000000002
2003-09-01,194.0395
2003-10-01,185.7308695652174
2003-11-01,179.8795
2003-12-01,173.65699999999998
2004-01-01,165.43761904761905
2004-02-01,167.69400000000002
2004-03-01,174.2917391304348
2004-04-01,175.35761904761904
2004-05-01,182.35
2004-06-01,185.09650000000002
2004-07-01,183.8390909090909
2004-08-01,187.3068181818182
2004-09-01,183.57190476190476
2004-10-01,182.797
2004-11-01,180.2709523809524
2004-12-01,175.5909523809524
2005-01-01,175.6757142857143
2005-02-01,176.02249999999998
2005-03-01,179.98727272727274
2005-04-01,178.18333333333334
2005-05-01,177.69476190476192
2005-06-01,180.0204761904762
2005-07-01,177.05904761904762
2005-08-01,167.8459090909091
2005-09-01,162.42523809523811
2005-10-01,158.4415
2005-11-01,157.06333333333333
2005-12-01,150.29190476190476
2006-01-01,154.49454545454546
2006-02-01,159.89000000000001
2006-03-01,158.52652173913043
2006-04-01,155.28263157894736
2006-05-01,158.91363636363636
2006-06-01,166.189
2006-07-01,166.67000000000002
2006-08-01,166.49954545454545
2006-09-01,165.8857894736842
2006-10-01,163.9961904761905
2006-11-01,163.71238095238095
2006-12-01,164.58368421052631
2007-01-01,169.345
2007-02-01,170.009
2007-03-01,169.0563636363636
2007-04-01,167.4665
2007-05-01,164.8152380952381
2007-06-01,166.18523809523808
2007-07-01,164.4675
2007-08-01,165.63772727272726
2007-09-01,164.64882352941174
2007-10-01,165.91227272727272
2007-11-01,168.99428571428572
2007-12-01,167.49
2008-01-01,162.9759090909091
2008-02-01,160.76142857142858
2008-03-01,157.363
2008-04-01,162.78318181818182
2008-05-01,168.13299999999998
2008-06-01,171.08523809523808
2008-07-01,176.0790909090909
2008-08-01,179.2535
2008-09-01,178.82049999999998
2008-10-01,201.95136363636365
2008-11-01,210.70149999999998
2008-12-01,208.81
2009-01-01,197.88047619047617
2009-02-01,187.60399999999998
2009-03-01,186.66272727272727
2009-04-01,188.84
2009-05-01,188.78473684210525
2009-06-01,185.15333333333334
2009-07-01,179.6540909090909
2009-08-01,185.3547619047619
2009-09-01,188.59047619047618
2009-10-01,190.24809523809523
2009-11-01,176.0261904761905
2009-12-01,174.30599999999998
2010-01-01,175.2445
2010-02-01,186.6575
2010-03-01,184.28217391304347
2010-04-01,183.38047619047617
2010-05-01,187.466
2010-06-01,189.18523809523808
2010-07-01,188.3685714285714
2010-08-01,181.77318181818183
2010-09-01,177.01299999999998
2010-10-01,173.4545
2010-11-01,172.02761904761905
2010-12-01,168.71380952380952
2011-01-01,175.65571428571428
2011-02-01,171.7205
2011-03-01,172.69956521739132
2011-04-01,167.54999999999998
2011-05-01,168.4131818181818
2011-06-01,169.8842857142857
2011-07-01,168.8647619047619
2011-08-01,170.46681818181818
2011-09-01,176.39761904761903
2011-10-01,187.19473684210524
2011-11-01,187.99809523809523
2011-12-01,192.0452380952381
2012-01-01,186.57636363636365
2012-02-01,179.8738095238095
2012-03-01,182.24727272727273
2012-04-01,183.204
2012-05-01,186.42000000000002
2012-06-01,189.30523809523808
2012-07-01,186.7855
2012-08-01,183.93863636363636
2012-09-01,182.5141176470588
2012-10-01,183.6509090909091
2012-11-01,184.97
2012-12-01,185.90684210526317
2013-01-01,185.35590909090908
2013-02-01,183.26500000000001
2013-03-01,182.202
2013-04-01,181.93863636363636
2013-05-01,181.51333333333335
2013-06-01,183.0875
2013-07-01,181.86545454545455
2013-08-01,183.04619047619047
2013-09-01,181.30499999999998
2013-10-01,180.88500000000002
2013-11-01,185.78
2013-12-01,190.153
2014-01-01,191.28500000000003
2014-02-01,197.0885
2014-03-01,200.9514285714286
2014-04-01,198.60095238095238
2014-05-01,199.2135
2014-06-01,198.0561904761905
2014-07-01,200.4631818181818
2014-08-01,205.791
2014-09-01,207.3
2014-10-01,203.1159090909091
2014-11-01,202.537
2014-12-01,207.2705
2015-01-01,206.80428571428573
2015-02-01,202.7265
2015-03-01,203.30136363636365
2015-04-01,197.33666666666664
2015-05-01,192.9521052631579
2015-06-01,199.3657142857143
2015-07-01,204.37409090909088
2015-08-01,212.55285714285714
2015-09-01,214.68380952380951
2015-10-01,211.23285714285717
2015-11-01,211.1480952380952
2015-12-01,208.35700000000003
2016-01-01,210.14450000000002
2016-02-01,200.92619047619047
2016-03-01,200.1640909090909
2016-04-01,202.9809523809524
2016-05-01,204.77454545454546
2016-06-01,205.42142857142858
2016-07-01,199.0985714285714
2016-08-01,197.63090909090909
2016-09-01,197.76761904761904
2016-10-01,196.07842105263157
2016-11-01,195.9309523809524
2016-12-01,196.4704761904762
2017-01-01,198.06952380952382
2017-02-01,197.783
2017-03-01,202.77739130434784
2017-04-01,202.095
2017-05-01,205.36409090909092
2017-06-01,203.7
2017-07-01,202.65714285714287
2017-08-01,198.86499999999998
2017-09-01,192.87473684210525
2017-10-01,193.741
2017-11-01,195.2
2017-12-01,196.33052631578948
2018-01-01,188.33227272727274
2018-02-01,183.8915
2018-03-01,185.59761904761905
2018-04-01,186.0952380952381
2018-05-01,191.42809523809524
2018-06-01,194.5004761904762
2018-07-01,199.158
2018-08-01,199.69954545454547
2018-09-01,205.82588235294116
2018-10-01,203.29409090909093
2018-11-01,200.8555
