,0
2000-01-01,100.0
2000-02-01,100.13860185120717
2000-03-01,100.27739580714592
2000-04-01,100.41638213407697
2000-05-01,100.55556109863006
2000-06-01,100.69493296780453
2000-07-01,100.83449800896973
2000-08-01,100.97425648986562
2000-09-01,101.11420867860326
2000-10-01,101.2543548436653
2000-11-01,101.3946952539065
2000-12-01,101.5352301785543
2001-01-01,101.67595988720925
2001-02-01,101.81344766457873
2001-03-01,101.95112135500915
2001-04-01,102.08898120989497
2001-05-01,102.22702748097059
2001-06-01,102.36526042031082
2001-07-01,102.50368028033131
2001-08-01,102.64228731378905
2001-09-01,102.78108177378282
2001-10-01,102.92006391375361
2001-11-01,103.05923398748514
2001-12-01,103.1985922491043
2002-01-01,103.3381389530816
2002-02-01,103.50233134299758
2002-03-01,103.66678461569293
2002-04-01,103.83149918568034
2002-05-01,103.99647546813107
2002-06-01,104.16171387887604
2002-07-01,104.32721483440692
2002-08-01,104.49297875187708
2002-09-01,104.65900604910274
2002-10-01,104.82529714456398
2002-11-01,104.99185245740576
2002-12-01,105.15867240743906
2003-01-01,105.32575741514185
2003-02-01,105.50819528514451
2003-03-01,105.69094916119572
2003-04-01,105.87401959065893
2003-05-01,106.0574071218457
2003-06-01,106.24111230401734
2003-07-01,106.42513568738654
2003-08-01,106.60947782311905
2003-09-01,106.79413926333528
2003-10-01,106.97912056111201
2003-11-01,107.16442227048402
2003-12-01,107.35004494644573
2004-01-01,107.53598914495291
2004-02-01,107.72608967134678
2004-03-01,107.91652625463121
2004-04-01,108.10729948888257
2004-05-01,108.29840996922748
2004-06-01,108.48985829184456
2004-07-01,108.68164505396636
2004-08-01,108.87377085388123
2004-09-01,109.06623629093514
2004-10-01,109.2590419655336
2004-11-01,109.45218847914349
2004-12-01,109.64567643429494
2005-01-01,109.83950643458327
2005-02-01,109.9980463030598
2005-03-01,110.15681500440995
2005-04-01,110.31581286892596
2005-05-01,110.47504022737677
2005-06-01,110.63449741100875
2005-07-01,110.79418475154641
2005-08-01,110.95410258119301
2005-09-01,111.11425123263136
2005-10-01,111.27463103902443
2005-11-01,111.43524233401605
2005-12-01,111.59608545173168
2006-01-01,111.75716072677899
2006-02-01,111.91198159569235
2006-03-01,112.06701694304535
2006-04-01,112.22226706596201
2006-05-01,112.377732261978
2006-06-01,112.53341282904114
2006-07-01,112.68930906551203
2006-08-01,112.8454212701646
2006-09-01,113.00174974218665
2006-10-01,113.15829478118049
2006-11-01,113.31505668716346
2006-12-01,113.47203576056855
2007-01-01,113.6292323022449
2007-02-01,113.76918046669108
2007-03-01,113.90930099425488
2007-04-01,114.04959409722235
2007-05-01,114.19005998814102
2007-06-01,114.33069887982016
2007-07-01,114.4715109853312
2007-08-01,114.61249651800792
2007-09-01,114.7536556914469
2007-10-01,114.89498871950777
2007-11-01,115.03649581631355
2007-12-01,115.17817719625099
2008-01-01,115.32003307397088
2008-02-01,115.58692556488546
2008-03-01,115.85443574207542
2008-04-01,116.12256503509143
2008-05-01,116.39131487679262
2008-06-01,116.66068670335432
2008-07-01,116.93068195427566
2008-08-01,117.2013020723873
2008-09-01,117.47254850385917
2008-10-01,117.74442269820811
2008-11-01,118.0169261083057
2008-12-01,118.29006019038599
2009-01-01,118.56382640405327
2009-02-01,118.57248011196165
2009-03-01,118.58113445148477
2009-04-01,118.58978942266873
2009-05-01,118.59844502555963
2009-06-01,118.60710126020358
2009-07-01,118.6157581266467
2009-08-01,118.6244156249351
2009-09-01,118.63307375511488
2009-10-01,118.64173251723217
2009-11-01,118.6503919113331
2009-12-01,118.6590519374638
2010-01-01,118.6677125956704
2010-02-01,118.81807267435521
2010-03-01,118.96862326950628
2010-04-01,119.11936462252095
2010-05-01,119.27029697510243
2010-06-01,119.42142056926019
2010-07-01,119.57273564731034
2010-08-01,119.72424245187602
2010-09-01,119.87594122588779
2010-10-01,120.02783221258402
2010-11-01,120.17991565551128
2010-12-01,120.33219179852473
2011-01-01,120.48466088578851
2011-02-01,120.69464889240781
2011-03-01,120.905002878917
2011-04-01,121.11572348316813
2011-05-01,121.32681134412492
2011-06-01,121.53826710186473
2011-07-01,121.7500913975805
2011-08-01,121.96228487358266
2011-09-01,122.17484817330109
2011-10-01,122.3877819412871
2011-11-01,122.60108682321535
2011-12-01,122.81476346588583
2012-01-01,123.02881251722582
2012-02-01,123.22739205036746
2012-03-01,123.42629210867858
2012-04-01,123.62551320951553
2012-05-01,123.82505587106975
2012-06-01,124.02492061236904
2012-07-01,124.22510795327901
2012-08-01,124.42561841450433
2012-09-01,124.62645251759017
2012-10-01,124.8276107849235
2012-11-01,125.02909373973448
2012-12-01,125.23090190609781
2013-01-01,125.4330358089341
2013-02-01,125.52296241708427
2013-03-01,125.61295349624723
2013-04-01,125.70300909264411
2013-05-01,125.7931292525292
2013-06-01,125.88331402218995
2013-07-01,125.973563447947
2013-08-01,126.0638775761542
2013-09-01,126.15425645319861
2013-10-01,126.24470012550059
2013-11-01,126.33520863951372
2013-12-01,126.42578204172494
2014-01-01,126.51642037865449
2014-02-01,126.56982938795763
2014-03-01,126.62326094391729
2014-04-01,126.67671505605156
2014-05-01,126.73019173388255
2014-06-01,126.78369098693639
2014-07-01,126.83721282474322
2014-08-01,126.89075725683722
2014-09-01,126.94432429275658
2014-10-01,126.99791394204352
2014-11-01,127.0515262142443
2014-12-01,127.10516111890921
2015-01-01,127.15881866559255
2015-02-01,127.16279321917457
2015-03-01,127.16676789698768
2015-04-01,127.17074269903574
2015-05-01,127.17471762532263
2015-06-01,127.17869267585225
2015-07-01,127.18266785062846
2015-08-01,127.18664314965517
2015-09-01,127.19061857293624
2015-10-01,127.19459412047557
2015-11-01,127.19856979227704
2015-12-01,127.20254558834453
2016-01-01,127.20652150868193
2016-02-01,127.22593968890592
2016-03-01,127.24536083333112
2016-04-01,127.26478494240999
2016-05-01,127.2842120165951
2016-06-01,127.30364205633909
2016-07-01,127.32307506209463
2016-08-01,127.3425110343145
2016-09-01,127.36194997345153
2016-10-01,127.38139187995861
2016-11-01,127.40083675428873
2016-12-01,127.42028459689493
2017-01-01,127.4397354082303
2017-02-01,127.54884832052561
2017-03-01,127.6580546544495
2017-04-01,127.76735448998886
