,0
2000-01-01,520.447619047619
2000-02-01,512.8509523809523
2000-03-01,504.3804347826087
2000-04-01,508.0994736842105
2000-05-01,521.6631818181818
2000-06-01,529.7375
2000-07-01,542.745238095238
2000-08-01,550.9945454545455
2000-09-01,565.895
2000-10-01,567.8414285714285
2000-11-01,574.5971428571429
2000-12-01,574.6284210526316
2001-01-01,571.1163636363636
2001-02-01,563.129
2001-03-01,587.7859090909092
2001-04-01,598.6279999999999
2001-05-01,604.4780952380953
2001-06-01,616.0725
2001-07-01,656.4557142857143
2001-08-01,673.7031818181817
2001-09-01,681.2417647058824
2001-10-01,708.0981818181818
2001-11-01,689.4014285714286
2001-12-01,669.1378947368421
2002-01-01,447.53818181818184
2002-02-01,339.169
2002-03-01,283.2275
2002-04-01,225.27904761904762
2002-05-01,200.1355
2002-06-01,187.8945
2002-07-01,193.80826086956523
2002-08-01,196.30428571428573
2002-09-01,202.29368421052632
2002-10-01,204.96347826086955
2002-11-01,204.346
2002-12-01,203.7665
2003-01-01,225.06909090909093
2003-02-01,241.77849999999998
2003-03-01,248.06
2003-04-01,255.28
2003-05-01,253.779
2003-06-01,252.60700000000003
2003-07-01,251.0304347826087
2003-08-01,241.052
2003-09-01,231.26950000000002
2003-10-01,226.21391304347827
2003-11-01,217.58649999999997
2003-12-01,203.70499999999998
2004-01-01,198.4114285714286
2004-02-01,199.4435
2004-03-01,208.54130434782607
2004-04-01,214.65238095238095
2004-05-01,218.25799999999998
2004-06-01,217.519
2004-07-01,214.21454545454546
2004-08-01,211.26454545454544
2004-09-01,205.94238095238094
2004-10-01,204.6225
2004-11-01,202.11047619047616
2004-12-01,194.25190476190477
2005-01-01,195.0004761904762
2005-02-01,196.8215
2005-03-01,200.57181818181817
2005-04-01,200.21428571428572
2005-05-01,200.11952380952383
2005-06-01,203.20666666666668
2005-07-01,200.71904761904764
2005-08-01,189.515
2005-09-01,184.4
2005-10-01,180.763
2005-11-01,178.7795238095238
2005-12-01,170.8752380952381
2006-01-01,172.25954545454545
2006-02-01,171.345
2006-03-01,171.93521739130435
2006-04-01,168.67631578947368
2006-05-01,170.51727272727274
2006-06-01,176.126
2006-07-01,175.48
2006-08-01,174.97772727272726
2006-09-01,173.80684210526314
2006-10-01,171.42000000000002
2006-11-01,171.57999999999998
2006-12-01,172.51052631578946
2007-01-01,175.2977272727273
2007-02-01,174.803
2007-03-01,173.68727272727273
2007-04-01,172.2415
2007-05-01,169.50666666666666
2007-06-01,171.19238095238094
2007-07-01,167.022
2007-08-01,165.98363636363635
2007-09-01,164.1405882352941
2007-10-01,158.79636363636362
2007-11-01,161.7404761904762
2007-12-01,159.11
2008-01-01,152.96318181818182
2008-02-01,147.93571428571428
2008-03-01,140.398
2008-04-01,141.00045454545455
2008-05-01,149.0995
2008-06-01,162.02666666666667
2008-07-01,166.265
2008-08-01,170.384
2008-09-01,172.4715
2008-10-01,191.8186363636364
2008-11-01,195.9275
2008-12-01,190.02349999999998
2009-01-01,180.0209523809524
2009-02-01,172.76
2009-03-01,162.54227272727272
2009-04-01,158.0195238095238
2009-05-01,151.97315789473683
2009-06-01,147.02190476190475
2009-07-01,142.01136363636363
2009-08-01,142.53714285714284
2009-09-01,142.96285714285713
2009-10-01,142.68190476190478
2009-11-01,133.31333333333333
2009-12-01,131.84449999999998
2010-01-01,131.763
2010-02-01,138.4735
2010-03-01,135.55347826086955
2010-04-01,134.4257142857143
2010-05-01,136.84099999999998
2010-06-01,136.8538095238095
