DATE,CPALTT01BRM657N
2000-01-01,0.620058417686462
2000-02-01,0.1301293160077759
2000-03-01,0.2199326456272769
2000-04-01,0.4201968815655889
2000-05-01,0.0099332609032985
2000-06-01,0.2303046104375749
2000-07-01,1.61028601156928
2000-08-01,1.30987065865344
2000-09-01,0.2298283507108609
2000-10-01,0.1398618189239599
2000-11-01,0.320093990145421
2000-12-01,0.5897466539196949
2001-01-01,0.570250732118765
2001-02-01,0.4601109227616039
2001-03-01,0.3798078619051609
2001-04-01,0.5798561488180339
2001-05-01,0.4099649433386529
2001-06-01,0.520223168199684
2001-07-01,1.32988697403115
2001-08-01,0.699774523424516
2001-09-01,0.2798871404580979
2001-10-01,0.829987820830892
2001-11-01,0.710195499485528
2001-12-01,0.65021599831199
2002-01-01,0.520232808319314
2002-02-01,0.3600280997541339
2002-03-01,0.599899378773293
2002-04-01,0.8001696011654529
2002-05-01,0.2097792733763809
2002-06-01,0.4197565412061
2002-07-01,1.19023375955242
2002-08-01,0.649814906023083
2002-09-01,0.7198105761641779
2002-10-01,1.31022160925306
2002-11-01,3.02022420923444
2002-12-01,2.09977825941146
2003-01-01,2.2502426732294705
2003-02-01,1.57023129147329
2003-03-01,1.23015629499202
2003-04-01,0.9699275818493108
2003-05-01,0.610079943102307
2003-06-01,-0.150103282074799
2003-07-01,0.1999788528109419
2003-08-01,0.3399737564117868
2003-09-01,0.7800675814704358
2003-10-01,0.2899208275674399
2003-11-01,0.3402037603373038
2003-12-01,0.519847066673875
2004-01-01,0.759815024960848
2004-02-01,0.6098565279132061
2004-03-01,0.469884475671748
2004-04-01,0.3699218319938479
2004-05-01,0.5098391944365029
2004-06-01,0.709805000065487
2004-07-01,0.909827787241604
2004-08-01,0.689856616352078
2004-09-01,0.330193508753993
2004-10-01,0.4400847003596961
2004-11-01,0.6900434769724479
2004-12-01,0.8597964237514029
2005-01-01,0.5798442632517989
2005-02-01,0.5901783382998448
2005-03-01,0.6097887576378039
2005-04-01,0.8698251749683749
2005-05-01,0.4900308958998929
2005-06-01,-0.0202005510710362
2005-07-01,0.250133350574605
2005-08-01,0.170101617577738
2005-09-01,0.350087924380984
2005-10-01,0.7498626588445679
2005-11-01,0.5500519405052509
2005-12-01,0.3598133245722059
2006-01-01,0.590044963319396
2006-02-01,0.4101381765711599
2006-03-01,0.4299404097124989
2006-04-01,0.2099672217837048
2006-05-01,0.1001074797360029
2006-06-01,-0.2100929913443259
2006-07-01,0.1899479099903439
2006-08-01,0.0500139573834504
2006-09-01,0.210031117156271
2006-10-01,0.329854330449843
2006-11-01,0.3098839091623949
2006-12-01,0.4799120865609289
2007-01-01,0.4401445479053819
2007-02-01,0.4401193957114978
2007-03-01,0.369960426364252
2007-04-01,0.250011329818563
2007-05-01,0.279902053117338
2007-06-01,0.2798721228582419
2007-07-01,0.240130667046276
2007-08-01,0.4701415282963088
2007-09-01,0.1800347422415869
2007-10-01,0.3000137382528679
2007-11-01,0.3798185311462199
2007-12-01,0.740167063118885
2008-01-01,0.539972616981867
2008-02-01,0.4901014794073539
2008-03-01,0.4801020352702828
2008-04-01,0.5499300416865059
2008-05-01,0.7900786492273159
2008-06-01,0.7401187036536179
2008-07-01,0.5298181664053019
2008-08-01,0.280026421564501
2008-09-01,0.2599741427335079
2008-10-01,0.4501057119393279
2008-11-01,0.360071388066517
2008-12-01,0.280090682825036
2009-01-01,0.479801995257272
2009-02-01,0.550100800209175
2009-03-01,0.1998131883547168
2009-04-01,0.4800977951696671
2009-05-01,0.4699877320628059
2009-06-01,0.3598898682884288
2009-07-01,0.2399649489400209
2009-08-01,0.1499552823933769
2009-09-01,0.2400392119999588
2009-10-01,0.2799891487459069
2009-11-01,0.4101276138120739
2009-12-01,0.3698689825609579
2010-01-01,0.749936207370771
2010-02-01,0.779877772003345
2010-03-01,0.519920494267169
2010-04-01,0.570155786301971
2010-05-01,0.4300353197176949
2010-06-01,0.0
2010-07-01,0.0099654744530363
2010-08-01,0.0398579257806878
2010-09-01,0.449829546732462
2010-10-01,0.7500903626982768
2010-11-01,0.829909770330251
2010-12-01,0.630061589228813
2011-01-01,0.830128696544632
2011-02-01,0.8000198608499159
2011-03-01,0.7899759867003457
2011-04-01,0.7700390364890329
2011-05-01,0.4701324918840559
2011-06-01,0.1499435825956899
2011-07-01,0.1599614405567069
2011-08-01,0.369940388467483
2011-09-01,0.530091455009633
2011-10-01,0.4301235524688378
2011-11-01,0.5199924019374909
2011-12-01,0.499881894413612
2012-01-01,0.5599739109741259
2012-02-01,0.4499253532936698
2012-03-01,0.2099942120708679
2012-04-01,0.639981888947911
2012-05-01,0.3599176342336979
2012-06-01,0.0798864348235955
2012-07-01,0.43012358156842
2012-08-01,0.4099837035766539
2012-09-01,0.57003906561427
2012-10-01,0.590023952028014
2012-11-01,0.6000731796560438
2012-12-01,0.790102455920449
2013-01-01,0.8599679108165029
2013-02-01,0.599982385838213
2013-03-01,0.470010177170322
2013-04-01,0.550046018701557
2013-05-01,0.369927043670896
2013-06-01,0.260099075083357
2013-07-01,0.0298714719369767
2013-08-01,0.2399765404099279
2013-09-01,0.3499778579959589
2013-10-01,0.5699400105376108
2013-11-01,0.5401164800680809
2013-12-01,0.9199573613781848
2014-01-01,0.549878256220206
2014-02-01,0.6899751588089689
2014-03-01,0.920048461753542
2014-04-01,0.670021906535519
2014-05-01,0.4599312014269359
2014-06-01,0.3999949271410869
2014-07-01,0.0101052971967679
2014-08-01,0.2500808342090389
2014-09-01,0.569971425835676
2014-10-01,0.419919623976515
2014-11-01,0.5099800399201629
2014-12-01,0.779954523339075
2015-01-01,1.23994423453023
2015-02-01,1.21989197605957
2015-03-01,1.32008441617752
2015-04-01,0.71003923838624
2015-05-01,0.739896211948129
2015-06-01,0.790113641677968
2015-07-01,0.6198975034741508
2015-08-01,0.2199621406881409
2015-09-01,0.5399560581137339
2015-10-01,0.819885952788486
2015-11-01,1.0099978438248198
2015-12-01,0.959902931164264
2016-01-01,1.26992746768985
2016-02-01,0.8999545077941378
2016-03-01,0.429954826428044
2016-04-01,0.6100734777441478
2016-05-01,0.7799010573285279
2016-06-01,0.3499293082907189
2016-07-01,0.5200795465929429
2016-08-01,0.43999245121385
2016-09-01,0.0800128358322339
2016-10-01,0.2600974996466638
2016-11-01,0.180102085901981
2016-12-01,0.299910530892026
2017-01-01,0.3800489980526539
2017-02-01,0.330006153717788
2017-03-01,0.249913195707806
2017-04-01,0.1399924093004699
2017-05-01,0.3100380247036469
2017-06-01,-0.23000324151785
2017-07-01,0.240052811618533
2017-08-01,0.1899307784891099
2017-09-01,0.1598987857170789
2017-10-01,0.4200928647988089
2017-11-01,0.280051216389266
2017-12-01,0.4400480498148969
2018-01-01,0.290046090072946
2018-02-01,0.320034396599276
2018-03-01,0.0899625998180522
2018-04-01,0.2199577858794659
2018-05-01,0.400053206068724
2018-06-01,1.2600141718975
2018-07-01,0.3300650614733759
2018-08-01,-0.0899012272011563
2018-09-01,0.4799705728796009
2018-10-01,0.4499264883886838
2018-11-01,-0.210044105343368
2018-12-01,0.1500107010251119
2019-01-01,0.319961730067614
2019-02-01,0.429945299232147
2019-03-01,0.7499615678750241
2019-04-01,0.569969502478992
2019-05-01,0.1300177838209579
2019-06-01,0.0099736274274806
2019-07-01,0.1900553672901459
2019-08-01,0.1100651202676719
2019-09-01,-0.0399622939503783
2019-10-01,0.1000413172552989
2019-11-01,0.510025663711739
2019-12-01,1.1500524738771398
2020-01-01,0.209952539824242
2020-02-01,0.2500271972570189
2020-03-01,0.0699752093175455
2020-04-01,-0.309994035699776
2020-05-01,-0.3799764062034109
2020-06-01,0.25999454030292
2020-07-01,0.359968904094678
2020-08-01,0.2400540355459518
2020-09-01,0.640042109507119
2020-10-01,0.8600176195112857
2020-11-01,0.8900134605341669
2020-12-01,1.3500360884495
2021-01-01,0.2499734740378219
2021-02-01,0.8599889855394929
2021-03-01,0.930024918051446
2021-04-01,0.3099712408717948
2021-05-01,0.8300672310538209
2021-06-01,0.530005784415522
2021-07-01,0.959968665402668
2021-08-01,0.869987657436349
2021-09-01,1.15996290024762
2021-10-01,1.24995583937984
2021-11-01,0.950069037020764
2021-12-01,0.729958243425862
2022-01-01,0.540029150136281
2022-02-01,1.01006161132048
2022-03-01,1.6200500704719298
2022-04-01,1.06001808126436
2022-05-01,0.4700072694457639
2022-06-01,0.6700577587605128
2022-07-01,-0.680003407761959
2022-08-01,-0.3599529004437099
2022-09-01,-0.2900356401053699
2022-10-01,0.59007839455979
2022-11-01,0.409960782967341
2022-12-01,0.6199682944266569
2023-01-01,0.529958650559395
2023-02-01,0.8399913957347521
2023-03-01,0.7100335666083009
2023-04-01,0.610015326029886
2023-05-01,0.2299251577821929
2023-06-01,-0.0799666330596604
2023-07-01,0.119970870652174
2023-08-01,0.230056059292665
2023-09-01,0.2600519505392709
2023-10-01,0.2399763605376089
2023-11-01,0.2800465702111559
2023-12-01,0.5600136588697308
2024-01-01,0.4200334550372237
2024-02-01,0.8299371335485614
2024-03-01,0.1599552067096642
