,0
2020-01-01,75.29032258064517
2020-02-01,76.32758620689656
2020-03-01,80.19354838709677
2020-04-01,94.96666666666667
2020-05-01,120.44444444444444
2020-06-01,120.86363636363636
2020-07-01,126.97826086956522
2020-08-01,131.52380952380952
2020-09-01,135.36363636363637
2020-10-01,167.5
2020-11-01,157.52380952380952
2020-12-01,151.06521739130434
2021-01-01,155.64285714285714
2021-02-01,147.0
2021-03-01,140.97826086956522
2021-04-01,143.22727272727272
2021-05-01,150.92857142857142
2021-06-01,159.5909090909091
2021-07-01,175.3181818181818
2021-08-01,178.3181818181818
2021-09-01,182.20454545454547
2021-10-01,186.85714285714286
2021-11-01,198.6818181818182
2021-12-01,198.7391304347826
2022-01-01,209.95238095238096
2022-02-01,211.55
2022-03-01,200.08695652173913
2022-04-01,197.23809523809524
2022-05-01,202.72727272727272
2022-06-01,216.22727272727272
2022-07-01,285.9047619047619
2022-08-01,289.1521739130435
2022-09-01,279.5
2022-10-01,285.0952380952381
2022-11-01,300.0
2022-12-01,324.77272727272725
2023-01-01,366.72727272727275
2023-02-01,375.8
2023-03-01,381.0217391304348
2023-04-01,419.475
2023-05-01,479.19565217391306
2023-06-01,487.8181818181818
2023-07-01,516.5714285714286
2023-08-01,671.304347826087
2023-09-01,734.9047619047619
2023-10-01,933.4545454545455
2023-11-01,930.2045454545455
2023-12-01,965.7142857142857
2024-01-01,1000.0
