,0
2000-01-01,100.0
2000-02-01,100.22384350471931
2000-03-01,100.44818806858467
2000-04-01,100.67303481318443
2000-05-01,100.89838486261756
2000-06-01,101.12423934349923
2000-07-01,101.35059938496646
2000-08-01,101.5774661186838
2000-09-01,101.80484067884893
2000-10-01,102.03272420219838
2000-11-01,102.26111782801317
2000-12-01,102.49002269812453
2001-01-01,102.71943995691963
2001-02-01,102.93312709663027
2001-03-01,103.14725876946626
2001-04-01,103.36183590018938
2001-05-01,103.57685941548517
2001-06-01,103.792330243967
2001-07-01,104.00824931618
2001-08-01,104.22461756460511
2001-09-01,104.44143592366312
2001-10-01,104.65870532971869
2001-11-01,104.8764267210844
2001-12-01,105.0946010380248
2002-01-01,105.31322922276048
2002-02-01,105.50940579879202
2002-03-01,105.70594781085916
2002-04-01,105.902855939693
2002-05-01,106.10013086729269
2002-06-01,106.29777327692783
2002-07-01,106.49578385314076
2002-08-01,106.69416328174904
2002-09-01,106.89291224984773
2002-10-01,107.09203144581178
2002-11-01,107.2915215592985
2002-12-01,107.49138328124984
2003-01-01,107.69161730389484
2003-02-01,107.93610313383022
2003-03-01,108.1811440053049
2003-04-01,108.42674117839647
2003-05-01,108.67289591604316
2003-06-01,108.9196094840504
2003-07-01,109.1668831510973
2003-08-01,109.41471818874315
2003-09-01,109.66311587143403
2003-10-01,109.91207747650928
2003-11-01,110.16160428420812
2003-12-01,110.41169757767622
2004-01-01,110.66235864297231
2004-02-01,110.83219161285729
2004-03-01,111.00228522455411
2004-04-01,111.17263987806847
2004-05-01,111.34325597401994
2004-06-01,111.51413391364292
2004-07-01,111.6852740987876
2004-08-01,111.85667693192086
2004-09-01,112.02834281612726
2004-10-01,112.20027215510999
2004-11-01,112.37246535319176
2004-12-01,112.54492281531581
2005-01-01,112.71764494704686
2005-02-01,112.92348682157723
2005-03-01,113.1297045988984
2005-04-01,113.33629896547377
2005-05-01,113.54327060902033
2005-06-01,113.75062021851092
2005-07-01,113.9583484841766
2005-08-01,114.16645609750888
2005-09-01,114.37494375126211
2005-10-01,114.58381213945567
2005-11-01,114.79306195737638
2005-12-01,115.00269390158074
2006-01-01,115.2127086698973
2006-02-01,115.4031827848837
2006-03-01,115.59397179905874
2006-04-01,115.78507623302595
2006-05-01,115.97649660824955
2006-06-01,116.16823344705587
2006-07-01,116.36028727263478
2006-08-01,116.55265860904109
2006-09-01,116.745347981196
2006-10-01,116.93835591488855
2006-11-01,117.13168293677701
2006-12-01,117.32532957439035
2007-01-01,117.51929635612967
2007-02-01,117.7266892967837
2007-03-01,117.93444823547522
2007-04-01,118.14257381810162
2007-05-01,118.3510666917002
2007-06-01,118.55992750445006
2007-07-01,118.76915690567421
2007-08-01,118.97875554584155
2007-09-01,119.1887240765689
2007-10-01,119.39906315062304
2007-11-01,119.60977342192268
2007-12-01,119.8208555455406
2008-01-01,120.03231017770557
2008-02-01,120.26686371404527
2008-03-01,120.50187558832188
2008-04-01,120.73734669616745
2008-05-01,120.97327793496417
2008-06-01,121.20967020384779
2008-07-01,121.44652440371107
2008-08-01,121.68384143720716
2008-09-01,121.9216222087531
2008-10-01,122.15986762453322
2008-11-01,122.39857859250262
2008-12-01,122.63775602239063
2009-01-01,122.87740082570426
2009-02-01,122.90802356895082
2009-03-01,122.93865394380741
2009-04-01,122.96929195217592
2009-05-01,122.99993759595874
2009-06-01,123.03059087705871
2009-07-01,123.06125179737917
2009-08-01,123.0919203588239
2009-09-01,123.12259656329718
2009-10-01,123.15328041270377
2009-11-01,123.18397190894888
2009-12-01,123.2146710539382
2010-01-01,123.24537784957792
2010-02-01,123.42640095695023
2010-03-01,123.60768995149799
2010-04-01,123.78924522375691
2010-05-01,123.97106716483634
2010-06-01,124.15315616642009
2010-07-01,124.33551262076726
2010-08-01,124.51813692071312
2010-09-01,124.70102945966991
2010-10-01,124.88419063162776
2010-11-01,125.06762083115545
2010-12-01,125.25132045340133
2011-01-01,125.43528989409414
2011-02-01,125.73570471098851
2011-03-01,126.03683901489715
2011-04-01,126.33869452897596
2011-05-01,126.64127298050776
2011-06-01,126.94457610091217
2011-07-01,127.24860562575553
2011-08-01,127.55336329476081
2011-09-01,127.8588508518176
2011-10-01,128.16507004499206
2011-11-01,128.47202262653693
2011-12-01,128.77971035290156
2012-01-01,129.08813498474194
2012-02-01,129.25005990060114
2012-03-01,129.4121879310098
2012-04-01,129.5745193307497
2012-05-01,129.7370543549222
2012-06-01,129.8997932589487
2012-07-01,130.06273629857097
2012-08-01,130.22588372985157
2012-09-01,130.3892358091743
2012-10-01,130.55279279324446
2012-11-01,130.71655493908946
2012-12-01,130.8805225040591
2013-01-01,131.04469574582592
2013-02-01,131.1467228644984
2013-03-01,131.2488294181521
2013-04-01,131.35101546863248
2013-05-01,131.4532810778332
2013-06-01,131.55562630769606
2013-07-01,131.6580512202111
2013-08-01,131.76055587741664
2013-09-01,131.8631403413993
2013-10-01,131.96580467429402
2013-11-01,132.06854893828412
2013-12-01,132.17137319560135
2014-01-01,132.2742775085259
2014-02-01,132.48262872787328
2014-03-01,132.69130813068475
2014-04-01,132.900316233897
2014-05-01,133.10965355526093
2014-06-01,133.31932061334302
2014-07-01,133.52931792752653
2014-08-01,133.73964601801285
2014-09-01,133.95030540582272
2014-10-01,134.16129661279763
2014-11-01,134.372620161601
2014-12-01,134.5842765757195
2015-01-01,134.79626637946444
2015-02-01,134.92201775695045
2015-03-01,135.04788644784108
2015-04-01,135.17387256157795
2015-05-01,135.2999762077048
2015-06-01,135.4261974958675
2015-07-01,135.55253653581434
2015-08-01,135.67899343739583
2015-09-01,135.80556831056506
2015-10-01,135.9322612653777
2015-11-01,136.05907241199202
2015-12-01,136.1860018606691
2016-01-01,136.31304972177293
2016-02-01,136.4742953219532
2016-03-01,136.63573166061107
2016-04-01,136.7973589633723
2016-05-01,136.95917745612957
2016-06-01,137.1211873650428
2016-07-01,137.28338891653942
2016-08-01,137.4457823373147
2016-09-01,137.60836785433207
2016-10-01,137.77114569482342
2016-11-01,137.93411608628946
2016-12-01,138.0972792565
2017-01-01,138.26063543349426
2017-02-01,138.44329090455824
2017-03-01,138.6261876809005
2017-04-01,138.8093260813083
2017-05-01,138.9927064249901
2017-06-01,139.17632903157596
2017-07-01,139.36019422111826
2017-08-01,139.5443023140922
2017-09-01,139.72865363139636
2017-10-01,139.91324849435324
2017-11-01,140.09808722470987
2017-12-01,140.28317014463832
2018-01-01,140.46849757673624
2018-02-01,140.73128853339958
2018-03-01,140.9945711240456
2018-04-01,141.25834626843186
2018-05-01,141.52261488803666
2018-06-01,141.78737790606215
2018-07-01,142.0526362474377
2018-08-01,142.318390838823
2018-09-01,142.5846426086114
2018-10-01,142.85139248693304
2018-11-01,143.1186414056582
2018-12-01,143.38639029840053
2019-01-01,143.65464010052028
2019-02-01,143.8859321885118
2019-03-01,144.11759666983448
2019-04-01,144.34963414406266
2019-05-01,144.582045211736
2019-06-01,144.81483047436103
2019-07-01,145.04799053441278
2019-08-01,145.2815259953363
2019-09-01,145.51543746154817
2019-10-01,145.74972553843818
2019-11-01,145.98439083237082
2019-12-01,146.2194339506868
2020-01-01,146.45485550170477
2020-02-01,146.54207597459927
2020-03-01,146.62934839121982
2020-04-01,146.71667278250123
2020-05-01,146.8040491793968
2020-06-01,146.89147761287816
2020-07-01,146.9789581139355
2020-08-01,147.06649071357737
2020-09-01,147.15407544283084
2020-10-01,147.24171233274146
2020-11-01,147.32940141437322
2020-12-01,147.4171427188087
2021-01-01,147.50493627714886
2021-02-01,147.915919196892
2021-03-01,148.32804721024746
2021-04-01,148.74132350771134
2021-05-01,149.15575128866914
2021-06-01,149.57133376142056
2021-07-01,149.98807414320441
2021-08-01,150.4059756602235
2021-09-01,150.82504154766954
2021-10-01,151.24527504974824
2021-11-01,151.66667941970442
2021-12-01,152.08925791984723
2022-01-01,152.5130138215753
2022-02-01,153.35176901486338
2022-03-01,154.19513699663844
2022-04-01,155.04314313522937
2022-05-01,155.89581293847985
2022-06-01,156.75317205451563
2022-07-01,157.61524627251595
2022-08-01,158.4820615234893
2022-09-01,159.3536438810535
2022-10-01,160.23001956221984
2022-11-01,161.1112149281818
2022-12-01,161.99725648510793
2023-01-01,162.8881708849392
2023-02-01,163.40557157888432
2023-03-01,163.92461575299527
2023-04-01,164.44530862764972
2023-05-01,164.96765543980754
2023-06-01,165.4916614430633
2023-07-01,166.01733190769914
2023-08-01,166.5446721207379
2023-09-01,167.0736873859962
2023-10-01,167.60438302413772
2023-11-01,168.1367643727268
2023-12-01,168.67083678628214
2024-01-01,169.20660563633064
2024-02-01,169.53881125558664
2024-03-01,169.8716690986317
2024-04-01,170.20518044598566
2024-05-01,170.53934658068232
2024-06-01,170.87416878827457
2024-07-01,171.2096483568392
2024-08-01,171.5457865769819
2024-09-01,171.88258474184224
2024-10-01,172.2200441470986
2024-11-01,172.5581660909732
2024-12-01,172.8969518742371
